Kood;Vanem;Tegevusala tekst;SIIA KUULUB;SIIA KUULUB VEEL;SIIA EI KUULU;ERIALALIIDUD;ON ERINÕUDEID?
73301;7330;Suhtekorraldus ja teabevahetus;"Siia klassi kuulub ettevõtete vm organisatsioonide nõustamine, juhendamine ja abi (k.a lobitegevus) suhtekorralduse ja teabevahetuse valdkonnas.
Siia klassi kuulub ka:
- müügiedendamise eesmärgiga müügiesindajate tegevus";;"reklaamiagentuuride tegevus ja reklaami vahendamine meedias, vt 731
turu-uuringud ja avaliku arvamuse küsitlused, vt 73201
visuaalse kommunikatsiooni kujundamine ja sellealane nõustamine, vt 74121";;EI
74;N;Muu kutse-, teadus- ja tehnikaalane tegevus;Siia ossa kuulub muude kutse-, teadus- ja tehnikaalaste teenuste osutamine (v.a juriidilised toimingud ja raamatupidamine, arhitekti- ja inseneritegevus, tehniline katsetamine ja analüüs, äri- ja muu juhtimisalane nõustamine, teadus- ja arendustegevus ning reklaamindus).;;;"Eesti E-kaubanduse Liit
Eesti Kaubandus-Tööstuskoda
Eesti Tööandjate Keskliit
Eesti Väike – ja Keskmiste Ettevõtjate Assotsiatsioon (EVEA)
Rahvusvaheline Kaubanduskoda ICC Eesti";EI
741;74;Disainerite tegevus;;;;;EI
7411;741;Tööstustoote- ja moedisain;"Siia klassi kuulub:
- tekstiilide, rõivaste, kingade, ehete, mööbli vm sisekujunduselementide ja muude moekaupade ning muude isiklike või tarbekaupade disain
- tööstusdisain (k.a spetsiaalse tarkvara abil), st toodete kasutamist, väärtust, pakendit ja välimust optimeerivate disainilahenduste ja spetsifikatsioonide loomine ja arendamine, k.a toote materjali, mehhanismi, kuju, värvi ja pinnaviimistluse määramine, võttes arvesse inimeste omadusi ja vajadusi, ohutust, turunõudlust, toote kasutamist ja hooldamist";;"insener-tehniline projekteerimine, st füüsikaliste seaduste ja inseneripõhimõtete rakendamine masinate, materjalide, instrumentide, struktuuride, protsesside ja süsteemide projekteerimiseks, vt 7112
3D-printimiseks kavandite (arvutifailide) loomine, vt 7112";;EI
74111;7411;Tööstustoote- ja moedisain;"Siia klassi kuulub:
- tekstiilide, rõivaste, kingade, ehete, mööbli vm sisekujunduselementide ja muude moekaupade ning muude isiklike või tarbekaupade disain
- tööstusdisain (k.a spetsiaalse tarkvara abil), st toodete kasutamist, väärtust, pakendit ja välimust optimeerivate disainilahenduste ja spetsifikatsioonide loomine ja arendamine, k.a toote materjali, mehhanismi, kuju, värvi ja pinnaviimistluse määramine, võttes arvesse inimeste omadusi ja vajadusi, ohutust, turunõudlust, toote kasutamist ja hooldamist";;"insener-tehniline projekteerimine, st füüsikaliste seaduste ja inseneripõhimõtete rakendamine masinate, materjalide, instrumentide, struktuuride, protsesside ja süsteemide projekteerimiseks, vt 71121
3D-printimiseks kavandite (arvutifailide) loomine, vt 71129";;EI
7412;741;Graafiline disain ja visuaalne kommunikatsioon;"Siia klassi kuulub:
- graafiliste disainerite tegevus
- veebilehtede graafiline disain
- kommunikatsioonidisainerite tegevus
- sõnumite ja teabe kujundamisega seotud tegevused, võttes arvesse inimeste omadusi ja vajadusi, ettevõtte eesmärke, turunõudlust ja levitamise kanalit/meetodit
- kampaaniate ja kommunikatsiooni sisu ja välisilme kujundamine ja sellealane nõustamine; korporatiivse kommunikatsiooni jaoks visuaalse identiteedi ja kommunikatsioonikanalite väljamõtlemine ja kujundamine; kaubamärgi (brändi) kujundamine ja ajakohastamine; trükiste visuaalse keele, vormi, värvi, tüpograafia määramine; keerukate ja abstraktsete kontseptsioonide visualiseerimine";;"arvutianimatsioonide kujundamine, vt 5911
veebilehtede struktuuri kujundamine tarkvaratehnika põhimõtteid rakendades, vt 6210
veebidisain koos veebilehtede programmeerimisega, vt 6210";;EI
74121;7412;Graafiline disain ja visuaalne kommunikatsioon;"Siia klassi kuulub:
- graafiliste disainerite tegevus
- veebilehtede graafiline disain
- kommunikatsioonidisainerite tegevus
- sõnumite ja teabe kujundamisega seotud tegevused, võttes arvesse inimeste omadusi ja vajadusi, ettevõtte eesmärke, turunõudlust ja levitamise kanalit/meetodit
- kampaaniate ja kommunikatsiooni sisu ja välisilme kujundamine ja sellealane nõustamine; korporatiivse kommunikatsiooni jaoks visuaalse identiteedi ja kommunikatsioonikanalite väljamõtlemine ja kujundamine; kaubamärgi (brändi) kujundamine ja ajakohastamine; trükiste visuaalse keele, vormi, värvi, tüpograafia määramine; keerukate ja abstraktsete kontseptsioonide visualiseerimine";viidandus;"arvutianimatsioonide kujundamine, vt 59111
veebilehtede struktuuri kujundamine tarkvaratehnika põhimõtteid rakendades, vt 62101
veebidisain koos veebilehtede programmeerimisega, vt 62101";;EI
7413;741;Sisekujundus;"Siia klassi kuulub:
- sisekujundajate tegevus
- sisekujundusteenused, nt siseruumide planeerimine ja kujundamine, et rahuldada inimeste esteetilisi ja funktsionaalseid vajadusi, keskendudes peamiselt viimistlusele, mööblile ja värvitoonidele
- sisekujunduse kavandite koostamine";;arhitektuuriline projekteerimine, vt 7111;;EI
74131;7413;Sisekujundus;"Siia klassi kuulub:
- sisekujundajate tegevus
- sisekujundusteenused, nt siseruumide planeerimine ja kujundamine, et rahuldada inimeste esteetilisi ja funktsionaalseid vajadusi, keskendudes peamiselt viimistlusele, mööblile ja värvitoonidele
- sisekujunduse kavandite koostamine";;arhitektuuriline projekteerimine, vt 71111;;EI
7414;741;Muu disainerite tegevus;;;arvutianimatsioonide kujundamine, vt 5911;;EI
74141;7414;Muu disainerite tegevus;"Siia klassi kuulub:
- muude sisekujunduselementide ning muude moe- ja tarbekaupade disain";;arvutianimatsioonide kujundamine, vt 59111;;EI
742;74;Fotograafia;;;;;EI
7420;742;Fotograafia;"Siia klassi kuulub: 
- reklaami- ja tarbefotograafia:
 • dokumendi- ja portreefotod (nt passipildid, kooli- ja pulmapildid jne) 
 • reklaami-, kirjastus-, moe-, kinnisvara- või turismifotograafia
 • aero- ja allveefotograafia
 • sündmuste (pulmapidude, koosolekute jms) videosalvestamine
- filmi töötlemine:
 • kliendi negatiivfilmide (k.a filmilindid) ilmutamine, fotode trükkimine ja suurendamine
 • filmiilmutus- ja fototrükilaborid
 • kiirfotoärid (v.a fotokaupluses)
 • slaidide raamimine
 • fotokoopiad, fotode ennistamine või retušeerimine
- fotoreporterite tegevus
- kunstfotograafide tegevus
Siia klassi kuulub ka:
- dokumentide mikrofilmimine
- fotode digiteerimine, video konverteerimine pilve
- objektide 3D-skaneerimine";;"fotode trükkimine (mobiiltelefonidest, mälukaartidelt, USB-lt vm elektroonilistelt kandjatelt), vt 1812
kinofilmide töötlemine kino- ja televisioonitööstuses, vt 5912
kartograafilised ja ruumiandmete alased tegevused, vt 7112
fotogrammeetrilised mõõdistustööd, vt 7112
mündiga töötavate (iseteeninduslike) fotoautomaatide käitamine, vt 9699";;JAH
74201;7420;Fotograafia;"Siia klassi kuulub: 
- fotoreporterite tegevus
- kunstfotograafide tegevus
Reklaami- ja tarbefotograafia:
- dokumendi- ja portreefotod (nt passipildid, kooli- ja pulmapildid jne) 
- reklaami-, kirjastus-, moe-, kinnisvara- või turismifotograafia
- aero- ja allveefotograafia
- sündmuste (pulmapidude, koosolekute jms) videosalvestamine
Filmi töötlemine:
- kliendi negatiivfilmide (k.a filmilindid) ilmutamine, fotode trükkimine ja suurendamine
- filmiilmutus- ja fototrükilaborid
- kiirfotoärid (v.a fotokaupluses)
- slaidide raamimine
- fotokoopiad, fotode ennistamine või retušeerimine
Siia klassi kuulub ka:
- dokumentide mikrofilmimine
- fotode digiteerimine, video konverteerimine pilve
- objektide 3D-skaneerimine";;"fotode trükkimine (mobiiltelefonidest, mälukaartidelt, USB-lt vm elektroonilistelt kandjatelt), vt 18121
kinofilmide töötlemine kino- ja televisioonitööstuses, vt 59121
kartograafilised ja ruumiandmete alased tegevused, vt 71122
fotogrammeetrilised mõõdistustööd, vt 71129
mündiga töötavate (iseteeninduslike) fotoautomaatide käitamine, vt 96999";;JAH
743;74;Kirjalik ja suuline tõlge;;;;;EI
7430;743;Kirjalik ja suuline tõlge;"Siia klassi kuulub:
- kõigi keelte, k.a viipekeele tõlge nii kõnes kui kirjas";;"tõlketarkvara kirjastamine, vt 5829
tõlkeprogrammide arendamine ja tõlkemootorite treenimine, vt 6210
keeleõppetegevus, vt 8559";;EI
74301;7430;Kirjalik ja suuline tõlge;"Siia klassi kuulub:
- kõigi keelte, k.a viipekeele tõlge nii kõnes kui kirjas";;"tõlketarkvara kirjastamine, vt 58291
tõlkeprogrammide arendamine ja tõlkemootorite treenimine, vt 62101
keeleõppetegevus, vt 85591";;EI
749;74;Muu mujal liigitamata kutse-, teadus- ja tehnikaalane tegevus;;;;;EI
